bench,threshold_model,performance_range,Model Name,Release Date,USD per 1M Tokens,benchmark_score
MMLU,GPT-3,"[43.9, 100]",DeepSeek-Coder-V2 236B,2024-09-11,0.175,79.2
MMLU,GPT-3,"[43.9, 100]",Jamba 1.5-Large,2024-09-12,3.5,80.0
MMLU,GPT-3,"[43.9, 100]",Command R+,2024-09-13,4.375,75.7
MMLU,GPT-3,"[43.9, 100]",Mistral 7B,2024-09-14,0.25,60.1
MMLU,GPT-3,"[43.9, 100]",Reka Core,2024-09-14,4.0,83.2
MMLU,GPT-3,"[43.9, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,86.0
MMLU,GPT-3,"[43.9, 100]",Gemini-1.5-Flash-2024-09,2024-09-24,0.13,75.0
MMLU,GPT-3,"[43.9, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,89.0
MMLU,GPT-3,"[43.9, 100]",Claude-3.5-Haiku,2024-10-22,1.6,81.0
MMLU,GPT-3,"[43.9, 100]",Mistral-Large-2-2024-11,2024-11-18,3.0,85.0
MMLU,GPT-3,"[43.9, 100]",GPT-4o-2024-11,2024-11-20,4.38,86.0
MMLU,GPT-3,"[43.9, 100]",Phi 4,2024-12-13,0.1225,85.0
MMLU,GPT-3,"[43.9, 100]",Mistral Small 3,2025-01-30,0.475,82.0
MMLU,GPT-3,"[43.9, 100]",Gemini 2.0 Flash,2025-02-05,0.175,88.0
MMLU,GPT-3.5,"[64.8, 100]",GPT-4-0314,2023-03-14,37.5,86.0
MMLU,GPT-3.5,"[64.8, 100]",GPT-3.5-Turbo-2023-06,2023-06-13,3.25,68.0
MMLU,GPT-3.5,"[64.8, 100]",GPT-4 Turbo,2023-11-06,15.0,87.0
MMLU,GPT-3.5,"[64.8, 100]",Llama 2-70B Chat,2023-12-01,0.7625,68.9
MMLU,GPT-3.5,"[64.8, 100]",GPT-3.5-Turbo-2024-01,2024-01-25,0.75,68.0
MMLU,GPT-3.5,"[64.8, 100]",Mistral-Large-2024-02,2024-02-26,6.0,69.0
MMLU,GPT-3.5,"[64.8, 100]",Mistral-Small-2024-02,2024-02-26,1.5,69.0
MMLU,GPT-3.5,"[64.8, 100]",Claude-3-Sonnet,2024-03-04,6.0,77.0
MMLU,GPT-3.5,"[64.8, 100]",Claude-3-Opus,2024-03-04,30.0,84.0
MMLU,GPT-3.5,"[64.8, 100]",Mistral-8x22,2024-04-17,1.2,76.0
MMLU,GPT-3.5,"[64.8, 100]",Llama-3-Instruct-70B,2024-04-18,0.89,79.0
MMLU,GPT-3.5,"[64.8, 100]",GPT-4o-2024-05,2024-05-13,7.5,87.0
MMLU,GPT-3.5,"[64.8, 100]",Gemini-1.5-Pro-2024-05,2024-05-23,2.19,86.0
MMLU,GPT-3.5,"[64.8, 100]",Claude-3.5-Sonnet-2024-06,2024-06-20,6.0,88.0
MMLU,GPT-3.5,"[64.8, 100]",Gemma-2-9B,2024-06-24,0.13,73.0
MMLU,GPT-3.5,"[64.8, 100]",Gemma-2-27B,2024-06-24,0.26,77.0
MMLU,GPT-3.5,"[64.8, 100]",Mistral-NeMo,2024-07-18,0.13,66.0
MMLU,GPT-3.5,"[64.8, 100]",GPT-4o-mini,2024-07-18,0.26,82.0
MMLU,GPT-3.5,"[64.8, 100]",Llama-3.1-Instruct-70B,2024-07-23,0.72,84.0
MMLU,GPT-3.5,"[64.8, 100]",Llama-3.1-Instruct-405B,2024-07-23,3.5,87.0
MMLU,GPT-3.5,"[64.8, 100]",Mistral-Large-2-2024-07,2024-07-24,3.0,85.0
MMLU,GPT-3.5,"[64.8, 100]",GPT-4o-2024-08,2024-08-06,4.38,89.0
MMLU,GPT-3.5,"[64.8, 100]",Claude 2,2024-08-12,12.0,78.5
MMLU,GPT-3.5,"[64.8, 100]",Gemini 1.0 Pro,2024-08-12,0.75,71.8
MMLU,GPT-3.5,"[64.8, 100]",Command R+,2024-08-13,6.0,75.7
MMLU,GPT-3.5,"[64.8, 100]",DeepSeek-Coder-V2 236B,2024-09-11,0.175,79.2
MMLU,GPT-3.5,"[64.8, 100]",Jamba 1.5-Large,2024-09-12,3.5,80.0
MMLU,GPT-3.5,"[64.8, 100]",Command R+,2024-09-13,4.375,75.7
MMLU,GPT-3.5,"[64.8, 100]",Reka Core,2024-09-14,4.0,83.2
MMLU,GPT-3.5,"[64.8, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,86.0
MMLU,GPT-3.5,"[64.8, 100]",Gemini-1.5-Flash-2024-09,2024-09-24,0.13,75.0
MMLU,GPT-3.5,"[64.8, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,89.0
MMLU,GPT-3.5,"[64.8, 100]",Claude-3.5-Haiku,2024-10-22,1.6,81.0
MMLU,GPT-3.5,"[64.8, 100]",Mistral-Large-2-2024-11,2024-11-18,3.0,85.0
MMLU,GPT-3.5,"[64.8, 100]",GPT-4o-2024-11,2024-11-20,4.38,86.0
MMLU,GPT-3.5,"[64.8, 100]",Phi 4,2024-12-13,0.1225,85.0
MMLU,GPT-3.5,"[64.8, 100]",Mistral Small 3,2025-01-30,0.475,82.0
MMLU,GPT-3.5,"[64.8, 100]",Gemini 2.0 Flash,2025-02-05,0.175,88.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",GPT-4-0314,2023-03-14,37.5,86.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",GPT-3.5-Turbo-2023-06,2023-06-13,3.25,68.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",GPT-4 Turbo,2023-11-06,15.0,87.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Llama 2-70B Chat,2023-12-01,0.7625,68.9
MMLU,GPT-3.5 Turbo,"[68.0, 100]",GPT-3.5-Turbo-2024-01,2024-01-25,0.75,68.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Mistral-Large-2024-02,2024-02-26,6.0,69.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Mistral-Small-2024-02,2024-02-26,1.5,69.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Claude-3-Sonnet,2024-03-04,6.0,77.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Claude-3-Opus,2024-03-04,30.0,84.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Mistral-8x22,2024-04-17,1.2,76.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Llama-3-Instruct-70B,2024-04-18,0.89,79.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",GPT-4o-2024-05,2024-05-13,7.5,87.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Gemini-1.5-Pro-2024-05,2024-05-23,2.19,86.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Claude-3.5-Sonnet-2024-06,2024-06-20,6.0,88.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Gemma-2-9B,2024-06-24,0.13,73.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Gemma-2-27B,2024-06-24,0.26,77.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",GPT-4o-mini,2024-07-18,0.26,82.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Llama-3.1-Instruct-70B,2024-07-23,0.72,84.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Llama-3.1-Instruct-405B,2024-07-23,3.5,87.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Mistral-Large-2-2024-07,2024-07-24,3.0,85.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",GPT-4o-2024-08,2024-08-06,4.38,89.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Claude 2,2024-08-12,12.0,78.5
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Gemini 1.0 Pro,2024-08-12,0.75,71.8
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Command R+,2024-08-13,6.0,75.7
MMLU,GPT-3.5 Turbo,"[68.0, 100]",DeepSeek-Coder-V2 236B,2024-09-11,0.175,79.2
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Jamba 1.5-Large,2024-09-12,3.5,80.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Command R+,2024-09-13,4.375,75.7
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Reka Core,2024-09-14,4.0,83.2
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,86.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Gemini-1.5-Flash-2024-09,2024-09-24,0.13,75.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,89.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Claude-3.5-Haiku,2024-10-22,1.6,81.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Mistral-Large-2-2024-11,2024-11-18,3.0,85.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",GPT-4o-2024-11,2024-11-20,4.38,86.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Phi 4,2024-12-13,0.1225,85.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Mistral Small 3,2025-01-30,0.475,82.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,88.0
MMLU,GPT-4-0314,"[86.0, 100]",Claude-3.5-Sonnet-2024-06,2024-06-20,6.0,88.0
MMLU,GPT-4-0314,"[86.0, 100]",Llama-3.1-Instruct-405B,2024-07-23,3.5,87.0
MMLU,GPT-4-0314,"[86.0, 100]",GPT-4o-2024-08,2024-08-06,4.38,89.0
MMLU,GPT-4-0314,"[86.0, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,86.0
MMLU,GPT-4-0314,"[86.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,89.0
MMLU,GPT-4-0314,"[86.0, 100]",GPT-4o-2024-11,2024-11-20,4.38,86.0
MMLU,GPT-4 Turbo,"[87.0, 100]",GPT-4o-2024-08,2024-08-06,4.38,89.0
MMLU,GPT-4 Turbo,"[87.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,89.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",GPT-4-0125,2024-01-25,15.0,42.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Claude-3-Sonnet,2024-03-04,6.0,37.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Claude-3-Opus,2024-03-04,30.0,50.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Mistral-8x22,2024-04-17,1.2,37.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Llama-3-Instruct-70B,2024-04-18,0.89,39.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",GPT-4o-2024-05,2024-05-13,7.5,53.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Gemini-1.5-Pro-2024-05,2024-05-23,2.19,46.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Claude-3.5-Sonnet-2024-06,2024-06-20,6.0,56.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Gemma-2-27B,2024-06-24,0.26,39.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Mistral-NeMo,2024-07-18,0.13,33.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",GPT-4o-mini,2024-07-18,0.26,43.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Llama-3.1-Instruct-70B,2024-07-23,0.72,43.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Llama-3.1-Instruct-405B,2024-07-23,3.5,50.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Mistral-Large-2-2024-07,2024-07-24,3.0,48.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",GPT-4o-2024-08,2024-08-06,4.38,52.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Claude 2,2024-08-12,12.0,35.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Gemini 1.0 Pro,2024-08-12,0.75,34.4
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Claude 2.1,2024-08-12,12.0,36.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Command R+,2024-08-13,6.0,34.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Jamba 1.5-Large,2024-09-12,3.5,43.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Command R+,2024-09-13,4.375,34.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,61.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Gemini-1.5-Flash-2024-09,2024-09-24,0.13,45.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,58.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Claude-3.5-Haiku,2024-10-22,1.6,37.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Mistral-Large-2-2024-11,2024-11-18,3.0,47.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",GPT-4o-2024-11,2024-11-20,4.38,54.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",DeepSeek-V3,2024-12-26,0.4775,57.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Mistral Small 3,2025-01-30,0.475,46.0
GPQA Diamond,GPT-4-0314,"[33.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,62.0
GPQA Diamond,GPT-4 Turbo,"[50.0, 100]",Claude-3-Opus,2024-03-04,30.0,50.0
GPQA Diamond,GPT-4 Turbo,"[50.0, 100]",GPT-4o-2024-08,2024-08-06,4.38,52.0
GPQA Diamond,GPT-4 Turbo,"[50.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,58.0
GPQA Diamond,GPT-4 Turbo,"[50.0, 100]",GPT-4o-2024-11,2024-11-20,4.38,54.0
GPQA Diamond,GPT-4 Turbo,"[50.0, 100]",DeepSeek-V3,2024-12-26,0.4775,57.0
GPQA Diamond,GPT-4 Turbo,"[50.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,62.0
GPQA Diamond,GPT-4o-2024-05,"[53.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,58.0
GPQA Diamond,GPT-4o-2024-05,"[53.0, 100]",GPT-4o-2024-11,2024-11-20,4.38,54.0
GPQA Diamond,GPT-4o-2024-05,"[53.0, 100]",DeepSeek-V3,2024-12-26,0.4775,57.0
GPQA Diamond,GPT-4o-2024-05,"[53.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,62.0
GPQA Diamond,Claude-3.5-Sonnet-2024-06,"[56.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,58.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",GPT-4 Turbo,2023-11-06,15.0,74.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",GPT-3.5-Turbo-2024-01,2024-01-25,0.75,44.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Mistral-Large-2024-02,2024-02-26,6.0,49.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Mistral-Small-2024-02,2024-02-26,1.5,56.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Claude-3-Opus,2024-03-04,30.0,64.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Mistral-8x22,2024-04-17,1.2,56.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Llama-3-Instruct-70B,2024-04-18,0.89,53.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",GPT-4o-2024-05,2024-05-13,7.5,79.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Gemini-1.5-Pro-2024-05,2024-05-23,2.19,66.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Claude-3.5-Sonnet-2024-06,2024-06-20,6.0,71.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Gemma-2-9B,2024-06-24,0.13,50.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Gemma-2-27B,2024-06-24,0.26,54.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Mistral-NeMo,2024-07-18,0.13,44.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",GPT-4o-mini,2024-07-18,0.26,79.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Llama-3.1-Instruct-70B,2024-07-23,0.72,64.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Llama-3.1-Instruct-405B,2024-07-23,3.5,70.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Mistral-Large-2-2024-07,2024-07-24,3.0,71.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",GPT-4o-2024-08,2024-08-06,4.38,80.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",DeepSeek-Coder-V2 236B,2024-09-11,0.175,74.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Jamba 1.5-Large,2024-09-12,3.5,61.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Reka Core,2024-09-14,4.0,56.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,88.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Gemini-1.5-Flash-2024-09,2024-09-24,0.13,83.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,76.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Claude-3.5-Haiku,2024-10-22,1.6,67.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Mistral-Large-2-2024-11,2024-11-18,3.0,72.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",GPT-4o-2024-11,2024-11-20,4.38,76.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Phi 4,2024-12-13,0.1225,81.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",DeepSeek-V3,2024-12-26,0.4775,89.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Mistral Small 3,2025-01-30,0.475,74.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,93.0
MATH-500,GPT-4 Turbo,"[74.0, 100]",GPT-4o-2024-08,2024-08-06,4.38,80.0
MATH-500,GPT-4 Turbo,"[74.0, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,88.0
MATH-500,GPT-4 Turbo,"[74.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,76.0
MATH-500,GPT-4 Turbo,"[74.0, 100]",GPT-4o-2024-11,2024-11-20,4.38,76.0
MATH-500,GPT-4 Turbo,"[74.0, 100]",DeepSeek-V3,2024-12-26,0.4775,89.0
MATH-500,GPT-4 Turbo,"[74.0, 100]",Mistral Small 3,2025-01-30,0.475,74.0
MATH-500,GPT-4 Turbo,"[74.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,93.0
MATH-500,GPT-4o-2024-05,"[79.0, 100]",GPT-4o-2024-08,2024-08-06,4.38,80.0
MATH-500,GPT-4o-2024-05,"[79.0, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,88.0
MATH-500,GPT-4o-2024-05,"[79.0, 100]",DeepSeek-V3,2024-12-26,0.4775,89.0
MATH-500,GPT-4o-2024-05,"[79.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,93.0
MATH 5,GPT-4-0613,"[23.0, 100]",GPT-4-0125,2024-01-25,15.0,35.0
MATH 5,GPT-4-0613,"[23.0, 100]",Claude-3-Opus,2024-03-04,30.0,34.0
MATH 5,GPT-4-0613,"[23.0, 100]",GPT-4o-2024-05,2024-05-13,7.5,48.0
MATH 5,GPT-4-0613,"[23.0, 100]",Gemini-1.5-Pro-2024-05,2024-05-23,2.19,41.0
MATH 5,GPT-4-0613,"[23.0, 100]",Claude-3.5-Sonnet-2024-06,2024-06-20,6.0,46.0
MATH 5,GPT-4-0613,"[23.0, 100]",Gemma-2-27B,2024-06-24,0.26,23.0
MATH 5,GPT-4-0613,"[23.0, 100]",GPT-4o-mini,2024-07-18,0.26,48.0
MATH 5,GPT-4-0613,"[23.0, 100]",Llama-3.1-Instruct-70B,2024-07-23,0.72,39.0
MATH 5,GPT-4-0613,"[23.0, 100]",Llama-3.1-Instruct-405B,2024-07-23,3.5,45.0
MATH 5,GPT-4-0613,"[23.0, 100]",Mistral-Large-2-2024-07,2024-07-24,3.0,45.0
MATH 5,GPT-4-0613,"[23.0, 100]",GPT-4o-2024-08,2024-08-06,4.38,47.0
MATH 5,GPT-4-0613,"[23.0, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,67.0
MATH 5,GPT-4-0613,"[23.0, 100]",Gemini-1.5-Flash-2024-09,2024-09-24,0.13,58.0
MATH 5,GPT-4-0613,"[23.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,53.0
MATH 5,GPT-4-0613,"[23.0, 100]",GPT-4o-2024-11,2024-11-20,4.38,50.0
MATH 5,GPT-4-0613,"[23.0, 100]",DeepSeek-V3,2024-12-26,0.4775,65.0
MATH 5,GPT-4-0613,"[23.0, 100]",Mistral Small 3,2025-01-30,0.475,45.0
MATH 5,GPT-4-0613,"[23.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,82.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",Claude-3.5-Sonnet-2024-06,2024-06-20,6.0,46.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",Llama-3.1-Instruct-70B,2024-07-23,0.72,39.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",Llama-3.1-Instruct-405B,2024-07-23,3.5,45.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",Mistral-Large-2-2024-07,2024-07-24,3.0,45.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",GPT-4o-2024-08,2024-08-06,4.38,47.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,67.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,53.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",GPT-4o-2024-11,2024-11-20,4.38,50.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",DeepSeek-V3,2024-12-26,0.4775,65.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",Mistral Small 3,2025-01-30,0.475,45.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,82.0
MATH 5,GPT-4o-2024-05,"[48.0, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,67.0
MATH 5,GPT-4o-2024-05,"[48.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,53.0
MATH 5,GPT-4o-2024-05,"[48.0, 100]",GPT-4o-2024-11,2024-11-20,4.38,50.0
MATH 5,GPT-4o-2024-05,"[48.0, 100]",DeepSeek-V3,2024-12-26,0.4775,65.0
MATH 5,GPT-4o-2024-05,"[48.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,82.0
HumanEval,GPT-4-0314,"[67.0, 100]",GPT-4 Turbo,2023-11-06,15.0,92.0
HumanEval,GPT-4-0314,"[67.0, 100]",GPT-3.5-Turbo-2024-01,2024-01-25,0.75,71.0
HumanEval,GPT-4-0314,"[67.0, 100]",Mistral-Large-2024-02,2024-02-26,6.0,69.0
HumanEval,GPT-4-0314,"[67.0, 100]",Mistral-Small-2024-02,2024-02-26,1.5,79.0
HumanEval,GPT-4-0314,"[67.0, 100]",Claude-3-Sonnet,2024-03-04,6.0,71.0
HumanEval,GPT-4-0314,"[67.0, 100]",Claude-3-Opus,2024-03-04,30.0,83.0
HumanEval,GPT-4-0314,"[67.0, 100]",Mistral-8x22,2024-04-17,1.2,74.0
HumanEval,GPT-4-0314,"[67.0, 100]",GPT-4o-2024-05,2024-05-13,7.5,94.0
HumanEval,GPT-4-0314,"[67.0, 100]",Gemini-1.5-Pro-2024-05,2024-05-23,2.19,83.0
HumanEval,GPT-4-0314,"[67.0, 100]",Claude-3.5-Sonnet-2024-06,2024-06-20,6.0,90.0
